NUMBER	TITLE	AUTHOR	TYPE	YEAR
703	The Big Ten of Grammar: Identifying and Fixing the Ten Most Frequent Grammatical Errors	William Bradshaw	Non-fic	2014
704	The End is Near and It's Going to be Awesome	Kevin D. Williamson	Non-fic	2014
705	Sitting Bull	Bill Yenne	Non-fic	2014
706	The Dreaming Void	Peter F. Hamilton	Sci-fic	2014
707	Pandora's Star	Peter F. Hamilton	Sci-fic	2014
708	Judas Unchained	Peter F. Hamilton	Sci-fic	2014
709	What If?: Serious Scientific Answers to Absurd Hypothetical Questions	Munroe Randall	Non-fic	2014
710	The Reality Dysfunction: Emergence 1	Peter F. Hamilton	Sci-fic	2014
711	The Reality Dysfunction: Expansion 2	Peter F. Hamilton	Sci-fic	2014
712	Blue Remembered Earth	Alastair Reynolds	Sci-fic	2014
713	The Martian	Andy Weir	Sci-fic	2014
714	The Abyss Beyond Dreams: A Novel of the Commonwealth	Peter F. Hamilton	Sci-fic	2014
715	The Perfect Theory: A Century of Geniuses and the Battle over General Relativity	Pedro G. Ferreira	Non-fic	2014
716	Essentialism: The Disciplined Pursuit of Less	Greg McKeown	Non-fic	2014
717	Why am I so Wise	Friedrich Nietzche :tr: Gerta Valentine	Autobiography	2014
718	House of Suns	Alastair Reynolds	Sci-fic	2014
719	Shaman	Kim Stanley Robinson	Fiction	2014
720	Proxima	Stephen Baxter	Sci-fic	2014
721	On the Steel Breeze	Alastair Reynolds	Sci-fic	2014
722	The Fractalist: Memoir of a Scientific Maverick	Beno�t B. Mandelbrot	Autobiography	2015
723	Spoon River Anthology: An Annotated Edition	Edgar Lee Masters	Poetry	2015
724	Proving Darwin: Making Biology Mathematical	Gregory Chaitin	Non-fic	2015
725	The Hydrogen Sonata	Iain M. Banks	Sci-fic	2015
726	Why Homer Matters	Adam Nicolson	Non-fic	2015
727	Ancillary Justice	Ann Leckie	Sci-fic	2015
728	The Outer Limits of Reason	Noson S. Yanofsky	Non-fic	2015
729	Finding Zero	Amir D. Aczel	Non-fic	2015
730	Genocide of One	Kazuaki Takano  :tr: Philip Gabriel	Sci-fic	2015
731	Lexicon	Max Barry	Sci-fic	2015
732	The Art of Robert Frost	Tim Kendall	Poetry	2015
733	Tom Sawyer	Mark Twain	Fiction	2015
734	The Knowledge: How to Rebuild Civilization in the Aftermath of a Cataclysm	Lewis Dartnell	Non-fic	2015
735	The Theory That Would Not Die	Sharon Bertsch McGrayne	Non-fic	2015
736	A Poetry Handbook	Mary Oliver	Poetry	2015
737	How Dante Can Save Your Life	Rod Dreher	Non-fic	2015
738	Black Hole	Marcia Bartusiak	Non-fic	2015
739	Euphoria	Lily King	Fiction	2015
740	Blue Horses	Mary Oliver	Poetry	2015
741	Ada's Algorithm: How Lord Byron's Daughter Ada Lovelace Launched the Digital Age	James Essinger	Non-fic	2015
742	The Windup Girl	Paolo Bacigalupi	Sci-fic	2015
743	The Young T. E. Lawrence	Anthony Sattin	Biography	2015
744	Seveneves	Neal Stephenson	Sci-fic	2015
745	Aurora	Kim Stanley Robinson	Sci-fic	2015
746	Initial Conditions	T. K. Flor	Fiction	2015
747	Genius At Play: The Curious Mind of John Horton Conway	Siobhan Roberts	Biography	2015
748	The Flicker Men	Ted Kosmatka	Sci-fic	2015
749	The Invention of Nature: Alexander von Humboldt's New World	Andrea Wulf	Non-fic	2015
750	Nine Algorithms That Changed the Future: The Ingenious Ideas That Drive Today's Computers	John MacCormick	Non-fic	2016
751	Roadside Geology of Missouri	Charles G. Spencer	Non-fic	2016
752	Lives of the Great Photographers	Juliet Hacking	Biography	2016
753	The Three-Body Problem	Liu Cixin :tr: Ken Liu	Sci-fic	2016
754	Saturn Run	John Sandford & Ctein	Sci-fic	2016
755	Poseidon's Wake	Alastair Reynolds	Sci-fic	2016
756	National Geographic Pocket Guide to Rocks and Minerals of North America	National Geographic Society	Non-fic	2016
757	Blood and Thunder: The Epic Story of Kit Carson & the Conquest of the American West	Hampton Sides	History	2016
758	Roadside Geology of New Mexico	Halka Chronic	Non-fic	2016
759	"A Country of Vast Designs: James K. Polk, the Mexican War and the Conquest of the American Continent"	Robert W. Merry	History	2016
760	"Great Excavations: Tales of Early Southwestern Archaeology, 1888-1939"	Melinda Elliott 	Non-fic	2016
761	Read This If You Want to Take Great Photographs	Henry Carroll	Non-fic	2016
762	Suspicious Minds: Why We Believe Conspiracy Theories 	Rob Brotherton	Non-fic	2016
763	"The Golden Ticket: P, NP, and the Search for the Impossible "	Lance Fortnow	Non-fic	2016
764	Great North Road	Peter F. Hamilton	Sci-fic	2016
765	Navigators of Dune	Brian Herbert & Kevin J. Anderson	Sci-fic	2016
766	Fallen Dragon	Peter F. Hamilton	Sci-fic	2016
767	A Night Without Stars: A Novel of the Commonwealth	Peter F. Hamilton	Sci-fic	2016
768	Roadside Geology of Idaho 	David D. Alt	Non-fic	2016
769	The Invention of Science: The Scientific Revolution from 1500 to 1750	David Wootton	Non-fic	2016
770	Soul Machine: The Invention of the Modern Mind	George Makari	Non-fic	2016
771	Idea Makers: Personal Perspectives on the Lives & Ideas of Some Notable People	Stephen Wolfram	Non-fic	2016
772	The Case Against the Fed	Murray N. Rothbard	Non-fic	2016
773	Common Sense	Thomas Paine	History	2016
774	1177 B.C.: The Year Civilization Collapsed	Eric H. Cline	History	2016
775	Cogwheels of the Mind: The Story of Venn Diagrams	A.W.F.Edwards	Non-fic	2017
776	Ego Is the Enemy	Ryan  Holiday	Non-fic	2017
777	The Unbanking of America: How the New Middle Class Survives	Lisa Servon	Non-fic	2017
778	Phishing for Phools: The Economics of Manipulation and Deception	George A. Akerlof & Robert J. Shiller	Non-fic	2017
779	It Happened in Idaho: Remarkable Events That Shaped History	Randy Stapilus	History	2017
780	"Sun, Moon, Earth: The History of Solar Eclipses, from Omens of Doom to Einstein and Exoplanets"	Tyler Nordgren	Non-fic	2017
781	Beyond Earth: Our Path to a New Home in the Planets	Charles Wohlforth	Non-fic	2017
782	The Collapsing Empire	John Scalzi	Sci-fic	2017
783	Dark Matter	Blake Crouch	Sci-fic	2017
784	A Big Bang in a Little Room: The Quest to Create New Universes	Zeeya Merali	Non-fic	2017
785	The Stars Are Legion	Kameron Hurley 	Sci-fic	2017
786	Miranda and Caliban	Jacqueline Carey	Fantasy	2017
787	American Eclipse	David Baron	Non-fic	2017
788	Void Star	Zachary Mason	Sci-fic	2017
789	Little Black Book of Junk Science	Alex Berezow	Non-fic	2017
790	The Oregon Trail: An American Saga	David Dary	History	2017
791	The Oregon Trail: A New American Journey	Rinker Buck	Non-fic	2017
792	Wagons West: The Epic Story of America's Overland Trails	Frank McLynn	History	2017
793	The Medusa Chronicles	Stephen Baxter & Alastair Reynolds	Sci-fic	2017
794	The Ends of the World	Peter Brannen	Non-fic	2017
795	A Man Called Ove	Fredrik Backman	Fiction	2017
796	Sapiens: A Brief History of Humankind	Yuval Noah Harari	Non-fic	2017
797	Idaho	Emily Ruskovich	Fiction	2017
798	The Way We Die Now: The View from Medicine�s Front Line	Seamus O'Mahony	Non-fic	2017
799	God's Red Son: the Ghost Dance Religion and the Making of Modern America	Louis S. Warren	History	2017
800	Effective Python: 59 Specific Ways to Write Better Python	Brett Slatkin	Programming	2018
801	The Telescope in the Ice: Inventing a New Astronomy at the South Pole	Mark Bowen	Non-fic	2018
802	Elegant Scipy: The Art of Scientific Python	Juan Nunez-Iglesias & St�fan van der Walt & Harriet Dashnow	Programming	2018
803	Reading the Rocks: How Victorian Geologists Discovered the Secret of Life	Brenda Maddox	Non-fic	2018
804	The Long Sunset	Jack McDevitt	Sci-fic	2018
805	The Case Against Education: Why the Education System Is a Waste of Time and Money	Bryan Caplan	Non-fic	2018
806	Lost in Math: How Beauty Leads Physics Astray	Sabine Hossenfelder	Non-fic	2018
807	"Ascendant (The Genesis Fleet, #2)"	Jack Campbell	Sci-fic	2018
808	Salvation	Peter F. Hamilton	Sci-fic	2018
809	Losing the Nobel Prize	Brian Keating	Non-fic	2018
810	Math with Bad Drawings	Ben Orlin	Mathematics	2018
811	"Rejoice, a Knife to the Heart"	Steven Erikson	Sci-fic	2018
812	"The Innocents Abroad: Or, the New Pilgrims' Progress"	Mark Twain	Non-fic	2018
813	Anxiety and the Equation: Understanding Boltzmann's Entropy	Eric Johnson	Non-fic	2018
814	Homo Deus: A Brief History of Tomorrow	Yuval Noah Harari	Non-fic	2018
815	Meetings with Remarkable Manuscripts: Twelve Journeys Into the Medieval World	Christopher de Hamel	Non-fic	2019
816	The Shape of a Life: One Mathematician's Search for the Universe's Hidden Geometry	Shing-Tung Yau	Autobiography	2019
817	Einstein's Monsters: The Life and Times of Black Holes	Chris Impey	Non-fic	2019
818	"Semicolon: The Past, Present, and Future of a Misunderstood Mark"	Cecelia Watson	Non-fic	2019
819	Einstein's Unfinished Revolution: The Search for What Lies Beyond the Quantum	Lee Smolin	Non-fic	2019
820	Trey & Kate	C.B. Gabriel :aka: Helen Baker	Fiction	2019
821	Exhalation	Ted  Chiang	Sci-fic	2019
822	Salvation Lost	Peter F. Hamilton	Sci-fic	2019
823	Pity the Reader: On Writing With Style	Kurt Vonnegut Jr.	Non-fic	2019
824	The Deadly Deep: The Definitive History of Submarine Warfare	Iain Ballantyne	Non-fic	2019
825	Effective SQL: 61 Specific Ways to Write Better SQL	John Viescas	Comp-Sci	2020
826	J Object Dictionary	John D. Baker	Manual	2020
827	The Saints of Salvation	Peter F. Hamilton	Sci-fic	2020
828	The Math(s) Fix: An Education Blueprint for the AI Age	Conrad Wolfram	Non-fic	2021
829	Programming Elixir � 1.6: Functional |> Concurrent |> Pragmatic |> Fun	Dave Thomas	Programming	2021
830	Programming Ecto	Darin Wilson	Programming	2021
831	Fundamentals: Ten Keys to Reality	Frank Wilczek	Non-fic	2021
832	Proof! How the World Became Geometrical	Amir Alexander	Non-fic	2021
833	x + y: A Mathematician's Manifesto for Rethinking Gender	Eugenia Cheng	Non-fic	2021
834	Logicomix: An Epic Search for Truth	Apostolos K. Doxiadis	Graphic	2021
835	The Last Stargazers: The Enduring Story of Astronomy's Vanishing Explorers	Emily M. Levesque	Non-fic	2021
836	Remote Control	Nnedi Okorafor	Sci-fic	2021
837	Binti (#1)	Nnedi Okorafor	Sci-fic	2021
838	The Man of Numbers: Fibonacci's Arithmetic Revolution	Keith Devlin	Non-fic	2021
839	Encounters with Euclid: How an Ancient Greek Geometry Text Shaped the World	Benjamin Wardhaugh	Non-fic	2021
840	Children of Time	Adrian Tchaikovsky	Sci-fic	2021
841	Theorem Proving in Lean	Jeremy Avigad & Leonardo de Moura & Soonho Kong	Mathematics	2021
842	Probable Impossibilities: Musings on Beginnings and Endings	Alan Lightman	Non-fic	2021
843	Exact Thinking in Demented Times: The Vienna Circle and the Epic Quest for the Foundations of Science	Karl Sigmund	Non-fic	2021
844	The Knowledge Machine: How Irrationality Created Modern Science	Michael Strevens	Non-fic	2021
845	Journey to the Edge of Reason: The Life of Kurt Godel	Stephen Budiansky	Non-fic	2021
846	The Backyard Astronomer's Guide	Terence Dickinson & Alan Dyer & Sara Seager	Non-fic	2021
847	The Secrets of Triangles: A Mathematical Journey	Alfred S. Posamentier	Mathematics	2021
848	Tales of Impossibility: The 2000-Year Quest to Solve the Mathematical Problems of Antiquity	David S. Richeson	Mathematics	2021
849	"How Mathematics Happened: The First 50,000 Years"	Peter Strom Rudman	Mathematics	2022
850	"Shape: The Hidden Geometry of Information, Biology, Strategy, Democracy, and Everything Else"	Jordan Ellenberg	Non-fic	2022
851	To Sleep in a Sea of Stars	Christopher Paolini	Sci-fic	2022
852	How the Mountains Grew: A New Geological History of North America	John Dvorak	Non-fic	2022
853	What Is Life?: Five Great Ideas in Biology	Paul Nurse	Non-fic	2022
854	The Age of Wonder: How the Romantic Generation Discovered the Beauty and Terror of Science	Richard Holmes	Non-fic	2022
855	The Art of More: How Mathematics Created Civilisation	Michael Brooks	Non-fic	2022
856	The Writing of the Gods: The Race to Decode the Rosetta Stone	Edward Dolnick	Non-fic	2022
857	In a Sunburned Country	Bill Bryson	Non-fic	2022
858	Gilgamesh: The Life of a Poem	Michael Schmidt	Non-fic	2022
859	On Quality: An Inquiry Into Excellence: Unpublished and Selected Writings	Robert M. Pirsig	Non-fic	2022
860	The Hate U Give	Angie Thomas	Fiction	2022
861	Keats: A Brief Life in Nine Poems and One Epitaph	Lucasta Miller	Biography	2022
862	"Australia's Kakadu Man, Bill Neidjie"	Bill Neidjie	Poetry	2022
863	The Dawn of Everything: A New History of Humanity	David Graeber & David Wengrow	Non-fic	2022
864	Shelley: The Pursuit	Richard Holmes	Biography	2022
865	This Weightless World	Adam Soto	Sci-fic	2022
866	Return to Uluru: The Hidden History of a Murder in Outback Australia	Mark McKenna	Non-fic	2022
867	Writing Tools: 50 Essential Strategies for Every Writer	Roy Peter Clark	Non-fic	2022
868	"River of the Gods: Genius, Courage and Betrayal in the Search for the Source of the Nile"	Candice Millard	Non-fic	2022
869	Delphi	Clare Pollard	Fiction	2023
870	River Kings: A New History of the Vikings from Scandinavia to the Silk Roads	Cat Jarman	Non-fic	2023
871	The Meaning of Proofs: Mathematics as Storytelling	Gabriele Lolli	Mathematics	2023
872	The Waste Land: A Biography of a Poem	Matthew Hollis	Non-fic	2023
873	How to Read Now	Elaine Castillo	Non-fic	2023
874	The Hidden Girl and Other Stories	Ken Liu 	Sci-fic	2023
875	Murder Your Darlings: And Other Gentle Writing Advice from Aristotle to Zinsser	Roy Peter Clark	Non-fic	2023
876	Pentagons and Pentagrams: An Illustrated History	Eli Maor	Non-fic	2023
877	"A Divine Language: Learning Algebra, Geometry, and Calculus at the Edge of Old Age"	Alec Wilkinson	Non-fic	2023
878	Letters to a Young Poet: The Norton Centenary Edition	Rainer Maria Rilke :tr: M. D. Herter Norton	Non-fic	2023
879	"For the First Time, Again (Take Them to the Stars, #3)"	Sylvain Neuvel	Sci-fic	2023
880	Fractal Noise	Christopher Paolini	Sci-fic	2023
881	Violeta	Isabel Allende	Fiction	2023
882	"Babel, or The Necessity of Violence: An Arcane History of the Oxford Translators' Revolution"	R.F. Kuang	Fiction	2023
883	The Crest of the Peacock: Non-European Roots of Mathematics	George Gheverghese Joseph	Mathematics	2023
884	An Applied Mathematician's Apology	Lloyd N. Trefethen	Autobiography	2023
885	Cloud Cuckoo Land	Anthony Doerr	Fiction	2023
886	For the Love of Mars: A Human History of the Red Planet	Matthew Shindell	Non-fic	2023
887	Orwell: The New Life	D.J. Taylor	Biography	2023
888	Making Darkness Light: A Life of John Milton	Joe Moshenska	Biography	2023
889	The Tea Girl of Hummingbird Lane	Lisa See	Fiction	2023
890	The Buried Giant	Kazuo Ishiguro	Fiction	2023
891	Kingdom of Nauvoo: The Rise and Fall of a Religious Empire on the American Frontier	Benjamin E. Park	Non-fic	2023
892	A History of Lying	Juan Jacinto Mu�oz-Rengel	Non-fic	2023
893	Zero-Sum: Stories	Joyce Carol Oates	Fiction	2023
894	TRUTH A BRIEF HISTORY OF TOTAL BULLSHT	Tom Phillips	Non-fic	2023
895	Radical by Nature: The Revolutionary Life of Alfred Russel Wallace	James T. Costa	Biography	2023
